track_artist,track_name,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,speechiness,track_popularity,playlist_name,track_album_release_date,instrumentalness,key,duration_ms,acousticness,playlist_subgenre
Michael Jackson,Billie Jean,0.654,117.046,0.92,pop,-3.051,0.036,0.847,0.0401,77,Throwback Party,2008-02-08,0.0153,11,293827,0.0236,throwback
"Offset, Travis Scott",SAY MY GRACE (feat. Travis Scott),0.631,121.854,0.772,hip-hop,-5.082,0.129,0.433,0.0431,70,Gangster Rap,2023-10-13,0.0,10,173253,0.0648,gangster
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.83,113.03,0.666,pop,-5.715,0.191,0.702,0.0751,76,Throwback Party,2016-05-06,0.0,0,236002,0.0123,throwback
Myles Smith,My Home,0.485,95.968,0.753,folk,-9.431,0.192,0.547,0.035,73,Indie Folk,2023-10-13,0.00104,11,206250,0.345,indie
"Zedd, Alessia Cara",Stay,0.622,102.04,0.69,electronic,-5.025,0.116,0.544,0.0622,73,EDM Hits,2017-02-23,0.0,5,210091,0.253,modern
"Asake, Wizkid",MMS,0.634,101.837,0.502,arabic,-3.367,0.188,0.645,0.144,72,Arab X,2024-08-08,0.0341,8,219628,0.677,modern
Lenny Kravitz,Are You Gonna Go My Way,0.67,129.269,0.619,rock,-10.322,0.331,0.777,0.0353,71,Rock Classics,1993-03-09,0.0109,11,211933,0.00165,classic
Pantera,Cowboys from Hell,0.908,114.816,0.415,metal,-9.701,0.082,0.437,0.0765,71,Metal Essentials,1990-07-20,0.0345,2,243533,0.00437,classic
Paramore,Misery Business,0.906,172.977,0.517,punk,-3.677,0.113,0.731,0.0735,73,Pop Punk Powerhouses,2007-06-11,9.26e-06,1,211520,0.00272,pop punk
"Nelly, Kelly Rowland",Dilemma,0.552,168.19,0.727,r&b,-8.074,0.198,0.607,0.14,77,R&B Hits,2002-06-25,0.00016,2,289160,0.226,modern
"The Alchemist, Boldy James",Ocean Prime (feat. Boldy James),0.604,49.305,0.583,hip-hop,-8.437,0.724,0.691,0.456,68,Chill Hop,2019-08-30,0.0,2,99907,0.735,chill
"Queen, David Bowie",Under Pressure - Remastered 2011,0.712,113.805,0.671,rock,-7.815,0.103,0.462,0.0476,79,80s Rock Anthems,1982-05-03,0.0,2,248440,0.429,80s
Ayra Starr,Rush,0.503,99.97,0.792,latin,-8.044,0.0959,0.381,0.0626,68,Afro-Latin Party,2022-09-16,0.00057,1,185093,0.0369,afro-latin
TOTO,Africa,0.373,92.718,0.671,rock,-18.064,0.0481,0.732,0.0323,83,80s Rock Anthems,1982-04-08,8.01e-05,9,295893,0.257,80s
NAYEON,ABCD,0.926,105.969,0.682,k-pop,-2.515,0.19,0.86,0.0607,73,K-Pop Daebak,2024-06-14,0.0,3,162840,0.0404,modern
George Strait,Amarillo By Morning,0.361,121.059,0.606,country,-16.031,0.38,0.621,0.0346,70,Classic Country,1982-01-01,3.39e-05,9,173467,0.264,classic
"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,0.681,155.079,0.56,pop,-6.304,0.106,0.388,0.244,89,Today's Top Hits,2024-09-20,0.0,6,223320,0.103,mainstream
"Travis Scott, Justin Bieber, Young Thug",Maria I'm Drunk (feat. Justin Bieber & Young Thug),0.631,105.989,0.648,hip-hop,-5.662,0.12,0.142,0.104,71,Melodic Rap,2015-09-04,0.0,4,349933,0.38,melodic
"Pitbull, Christina Aguilera",Feel This Moment (feat. Christina Aguilera),0.758,135.956,0.673,pop,-3.632,0.341,0.542,0.158,77,Throwback Party,2012,0.0,7,229507,0.039,throwback
Wizkid,Kese (Dance),0.874,118.079,0.774,arabic,-5.641,0.413,0.927,0.0488,75,Arab X,2024-11-15,0.34,5,174053,0.142,modern
Luke Combs,Fast Car,0.603,97.994,0.712,pop,-5.52,0.115,0.67,0.0262,82,Soft Pop Hits,2023-03-24,0.0,8,265493,0.186,soft
